iter	MultiClass
0	1.033721356
1	0.9793235528
2	0.9287707935
3	0.8839653668
4	0.8446445548
5	0.8096293814
6	0.7763683584
7	0.7459662487
8	0.7212065832
9	0.6962262454
10	0.6734128567
11	0.6526248606
12	0.6344006907
13	0.6153071596
14	0.597843094
15	0.5816428612
16	0.5667464474
17	0.5532007862
18	0.5405401806
19	0.5282537354
20	0.5176035847
21	0.5073088418
22	0.4968631069
23	0.4871387238
24	0.4785134187
25	0.4705913235
26	0.4627100611
27	0.4552902147
28	0.4484910187
29	0.4419861816
30	0.4359224017
31	0.4298645688
32	0.424171963
33	0.4193917315
34	0.414528097
35	0.4098989784
36	0.405933242
37	0.4021090017
38	0.3981085186
39	0.3946140814
40	0.3910300214
41	0.387356286
42	0.3842451786
43	0.3814069414
44	0.3784545832
45	0.3750733469
46	0.3720009841
47	0.3700580862
48	0.3676192053
49	0.3652827175
50	0.3631759304
51	0.3610892692
52	0.3590994714
53	0.3570132959
54	0.3552186372
55	0.3536651827
56	0.3518167961
57	0.3506283149
58	0.3488750683
59	0.3474218386
60	0.3464631559
61	0.3454216339
62	0.3442884099
63	0.3429175492
64	0.3418629974
65	0.3409255241
66	0.3395170826
67	0.3383984018
68	0.3373651881
69	0.3364019223
70	0.3353216
71	0.3344126441
72	0.3338160022
73	0.3329105623
74	0.3319566803
75	0.3312773032
76	0.3306384579
77	0.3301039883
78	0.3292358043
79	0.3283667152
80	0.3276688699
81	0.3270848781
82	0.3268705542
83	0.3262555374
84	0.3254960756
85	0.3250078032
86	0.3246235167
87	0.3239197919
88	0.3233131205
89	0.3228209327
90	0.3223001018
91	0.3216651387
92	0.3211750753
93	0.3203270148
94	0.3199194939
95	0.3195443597
96	0.319245665
97	0.3189252766
98	0.3183602121
99	0.3179939524
100	0.3176808891
101	0.317095866
102	0.3166760952
103	0.3163908023
104	0.3160586905
105	0.3153961949
106	0.3150919468
107	0.3144930194
108	0.3142411774
109	0.3138908725
110	0.3134329339
111	0.3130866544
112	0.3128450813
113	0.3124178593
114	0.3118488843
115	0.3114978173
116	0.3111152854
117	0.3109133171
118	0.3105241266
119	0.3102553746
120	0.3098298977
121	0.3093813305
122	0.3090089616
123	0.308789635
124	0.3085088507
125	0.3082990676
126	0.307829944
127	0.3077104567
128	0.3074074142
129	0.3073672617
130	0.3071490815
131	0.3069021875
132	0.3065540133
133	0.3062533171
134	0.3059394175
135	0.3055935819
136	0.3051970498
137	0.3051190829
138	0.3048078087
139	0.3045720083
140	0.3042859155
141	0.3039654466
142	0.3038080368
143	0.3036670156
144	0.303169285
145	0.3028219168
146	0.3027387038
147	0.3025895795
148	0.3023187161
149	0.3021750494
150	0.302158929
151	0.3019121717
152	0.3015395019
153	0.3011817798
154	0.3009574389
155	0.300759697
156	0.3005910582
157	0.3003798561
158	0.3000702844
159	0.2999688329
160	0.2996829817
161	0.2994931056
162	0.2992056878
163	0.2991046985
164	0.2987758346
165	0.2986631563
166	0.2981992528
167	0.2981044468
168	0.2980391218
169	0.297723916
170	0.2976221478
171	0.2974507206
172	0.2973165486
173	0.2969620867
174	0.2966689676
175	0.2964184583
176	0.29623637
177	0.2960882648
178	0.2959847919
179	0.2958959535
180	0.2958122824
181	0.295696477
182	0.295535505
183	0.2951576175
184	0.2950289569
185	0.2947734862
186	0.2945660817
187	0.2943837873
188	0.2941810198
189	0.29404879
190	0.2939575894
191	0.2938002326
192	0.2936073106
193	0.2932673884
194	0.2931426612
195	0.2929869281
196	0.2926087362
197	0.2922607674
198	0.292152966
199	0.2919635717
200	0.291800223
201	0.291549025
202	0.2913059928
203	0.2911855904
204	0.2909027957
205	0.2908189022
206	0.2907345322
207	0.2905565852
208	0.2903696957
209	0.2899979747
210	0.2897927768
211	0.2896595398
212	0.2895259392
213	0.2893116721
214	0.28909887
215	0.2890064913
216	0.2888808146
