iter	Passed	Remaining
0	697	1394784
1	1190	1189204
2	2031	1352438
3	2735	1365186
4	3433	1369949
5	3962	1317005
6	4645	1322685
7	5401	1344861
8	6101	1349709
9	6825	1358308
10	7695	1391525
11	8361	1385166
12	8896	1359745
13	9524	1351093
14	10171	1346036
15	10843	1344601
16	11539	1346086
17	12211	1344651
18	12950	1350281
19	13622	1348656
20	14280	1345799
21	14928	1342181
22	15582	1339384
23	16286	1340903
24	16976	1341141
25	17715	1344983
26	18459	1348877
27	19272	1357305
28	26458	1798299
29	27192	1785639
30	27853	1769174
31	28578	1757574
32	29264	1744329
33	30009	1735236
34	30631	1719741
35	31333	1709442
36	31999	1697702
37	32719	1689340
38	33414	1680145
39	34142	1672991
40	35107	1677462
41	35866	1672048
42	36859	1677528
43	37886	1684219
44	38681	1680517
45	39415	1674310
46	40134	1667709
47	40915	1663889
48	41568	1655111
49	42297	1649611
50	43052	1645278
51	43861	1643113
52	44540	1636246
53	45372	1635085
54	46101	1630300
55	46834	1625825
56	47650	1624304
57	48366	1619444
58	49076	1614524
59	49833	1611279
60	50558	1607088
61	51325	1604343
62	52082	1601325
63	53132	1607250
64	54044	1608848
65	54727	1603676
66	55453	1599876
67	56148	1595271
68	56894	1592223
69	57613	1588491
70	58373	1585958
71	59062	1581559
72	59726	1576619
73	60441	1573103
74	61104	1568353
75	61796	1564417
76	62598	1563343
77	63484	1564329
78	64200	1561125
79	64926	1558244
80	65602	1554213
81	66362	1552234
82	66716	1540913
83	67406	1537512
84	68166	1535753
85	68921	1533894
86	69630	1531075
87	70325	1527991
88	71119	1527067
89	71823	1524247
90	72659	1524257
91	73341	1521043
92	74080	1519044
93	74898	1518694
94	75656	1517106
95	76318	1513659
96	77002	1510684
97	77861	1511146
98	78568	1508682
99	79315	1506997
100	80001	1504184
101	80719	1502011
102	81425	1499646
103	82142	1497527
104	82917	1496458
105	83757	1496580
106	84675	1498040
107	85396	1496016
108	86171	1494964
109	86900	1493102
110	87650	1491637
111	88310	1488658
112	89113	1488109
113	89792	1485518
114	90380	1481456
115	92511	1502520
116	93134	1498916
117	93806	1496134
118	94555	1494613
119	95315	1493269
120	96064	1491782
121	96885	1491406
122	97667	1490417
123	98388	1488519
124	98905	1483578
125	99531	1480328
126	100608	1483778
127	101391	1482849
128	102117	1481102
129	102719	1477574
130	103481	1476385
131	104129	1473588
132	104840	1471711
133	105544	1469742
134	106253	1467878
135	107023	1466848
136	107787	1465750
137	108580	1465043
138	109309	1463492
139	109980	1461175
140	110695	1459452
141	111436	1458086
142	112205	1457099
143	112854	1454567
144	113590	1453173
145	114542	1454539
146	115207	1452238
147	115907	1450411
148	116616	1448707
149	117306	1446786
150	117938	1444161
151	118584	1441743
152	119304	1440227
153	119995	1438385
154	120722	1436985
155	121469	1435826
156	122258	1435175
157	122984	1433784
158	123699	1432267
159	124412	1430741
160	125182	1429885
161	125854	1427900
162	126527	1425953
163	127263	1424730
164	127906	1422473
165	128600	1420802
166	129389	1420189
167	130104	1418758
168	130862	1417803
169	131608	1416728
170	132370	1415825
171	133058	1414132
172	133793	1412954
173	134595	1412474
174	135247	1410438
175	135959	1409035
176	136641	1407325
177	137372	1406140
178	138079	1404713
179	138801	1403432
180	139556	1402500
181	140280	1401263
182	140949	1399486
183	141703	1398556
184	142360	1396673
185	143095	1395567
186	143829	1394454
187	144610	1393798
188	145326	1392518
189	146105	1391849
190	146816	1390525
191	147519	1389140
192	148226	1387798
193	148910	1386253
194	149571	1384497
195	150345	1383789
196	151120	1383098
197	151884	1382304
198	152545	1380572
199	153196	1378771
200	153874	1377213
201	154507	1375267
202	155239	1374214
203	155927	1372775
204	156560	1370860
205	157568	1372223
206	158374	1371811
207	159116	1370849
208	159853	1369843
209	160501	1368080
210	161221	1366948
211	161912	1365559
212	162518	1363480
213	163299	1362860
214	163978	1361403
215	164629	1359719
216	165389	1358941
217	166183	1358438
218	166848	1356879
219	167551	1355644
220	168234	1354250
221	168981	1353372
222	169724	1352468
223	170431	1351276
224	171037	1349297
225	171736	1348055
226	172369	1346304
227	173040	1344862
228	173776	1343920
229	174480	1342737
230	175115	1341039
231	175850	1340099
232	176572	1339075
233	177277	1337911
234	177981	1336753
235	178759	1336153
236	179505	1335312
237	180210	1334161
238	180953	1333300
239	181685	1332357
240	182434	1331542
241	183181	1330718
242	183922	1329840
